wavelengths,model,RMSE,MAE
501,Linear Regression,134.1717,89.3372
501,Random Forest,1.8088,1.1987
501,MLP,1.2775,0.9148
250,Linear Regression,1116.0888,462.4298
250,Random Forest,1.7387,1.1421
250,MLP,1.4547,0.959
125,Linear Regression,15947.7123,3100.7038
125,Random Forest,1.676,1.1472
125,MLP,1.7922,1.2989
75,Linear Regression,433.4147,80.8364
75,Random Forest,1.3526,0.9493
75,MLP,1.4931,1.0117
50,Linear Regression,14.1121,2.434
50,Random Forest,1.3777,1.0611
50,MLP,2.0572,1.3931
