wavelength_nm,importance_psi,importance_delta,importance_total
300,0.00016415738700895855,1.4192529312687497e-05,0.00017834991632164604
301,0.0002928863953079526,9.899326666625556e-06,0.0003027857219745782
302,0.00036037291375313953,0.0003794867910760623,0.0007398597048292018
303,0.0002980632550155828,2.8180232503945246e-05,0.00032624348751952804
304,0.00030207778044002726,1.4870799219442029e-05,0.0003169485796594693
305,0.0004289927556760976,1.3097735752566799e-05,0.0004420904914286644
306,0.0004362948259552856,3.7878000268081204e-05,0.0004741728262233668
307,6.636797996110599e-05,2.1774373850269683e-05,8.814235381137568e-05
308,0.0006731820663198368,1.0519231846639738e-05,0.0006837012981664765
309,0.00010005198557188019,8.801465939651817e-06,0.000108853451511532
310,6.826027145509009e-06,7.120419266686207e-05,7.803021981237107e-05
311,3.944600486906602e-05,0.00024136349597901746,0.00028080950084808347
312,7.646261913964063e-06,1.4374188118626295e-06,9.083680725826693e-06
313,0.00033327665322572685,1.6569109821751363e-05,0.0003498457630474782
314,0.0002668854812315275,3.6594187139088516e-05,0.000303479668370616
315,0.0010382139139372408,6.393875873750771e-06,0.0010446077898109917
316,0.00016266050119232453,9.581815976158702e-06,0.00017224231716848323
317,0.00042982743415265326,0.00010803308295919512,0.0005378605171118484
318,1.1078759172211785e-06,6.604502471422975e-05,6.715290063145092e-05
319,0.000743048172251606,1.76573032280247e-05,0.0007607054754796308
320,0.0002535937083488077,6.30345389938099e-06,0.0002598971622481887
321,0.00046689792541533575,7.688697204587329e-07,0.0004676667951357945
322,0.00037601597710853677,4.027864707026976e-06,0.00038004384181556376
323,8.894255324133853e-06,2.5106190938666987e-05,3.400044626280084e-05
324,0.0004819229209930356,1.1590596633624768e-05,0.0004935135176266604
325,0.00041154877045930895,6.576433970710355e-05,0.0004773131101664125
326,2.653799440713974e-05,5.782347799255024e-06,3.232034220639477e-05
327,1.3101237326365326e-06,8.996352084334723e-06,1.0306475816971255e-05
328,5.943603549952605e-06,2.416588688290004e-06,8.360192238242609e-06
329,0.00041167498273529993,1.859837371120789e-05,0.00043027335644650784
330,2.904549026092037e-06,4.144817835141469e-06,7.049366861233506e-06
331,2.4705126745262453e-05,1.3708100715975097e-05,3.841322746123755e-05
332,1.7481544222460497e-05,1.0648272791849653e-05,2.812981701431015e-05
333,6.206706494201505e-06,1.4198884728110074e-05,2.0405591222311578e-05
334,9.897979016878834e-06,9.330643884039074e-06,1.9228622900917908e-05
335,1.274440537461269e-05,6.679944475149515e-05,7.954385012610784e-05
336,8.790055212904273e-07,5.185276639371444e-07,1.3975331852275717e-06
337,0.00029093877507811483,4.74114438399686e-06,0.00029567991946211167
338,0.0002157629286358352,1.3824871973496467e-06,0.00021714541583318486
339,0.0007691257234626658,1.3684397039576699e-06,0.0007704941631666235
340,0.0005516345063259731,7.777360940902445e-06,0.0005594118672668755
341,0.000635063483456477,3.0199117554140376e-05,0.0006652626010106174
342,0.0005282179381263037,0.00011532459717632485,0.0006435425353026286
343,0.0005250348785489549,8.09935016522268e-07,0.0005258448135654772
344,0.0008216000056211268,1.5393321922184745e-06,0.0008231393378133453
345,0.0002008344683107951,0.0007699425276264319,0.000970776995937227
346,2.9090110568265956e-06,1.664268657627398e-05,1.9551697633100576e-05
347,0.0003351078313588827,1.5666844297499788e-05,0.0003507746756563825
348,2.363343973026633e-06,1.4339237413906052e-05,1.6702581386932687e-05
349,7.4022571503162135e-06,9.019606132444186e-07,8.304217763560633e-06
350,0.00034872316541416745,2.3201477342521178e-07,0.0003489551801875927
351,0.0003255585291058924,8.048985117767422e-06,0.00033360751422365983
352,0.00042327366740240575,5.3658217991383335e-06,0.0004286394892015441
353,0.0003649937281377212,1.0941496814529323e-05,0.00037593522495225055
354,0.0004306837314988885,7.560971371241739e-07,0.00043143982863601266
355,1.9806719519951693e-05,0.00012051182019055622,0.0001403185397105079
356,0.0006226193481957837,2.222419305964484e-05,0.0006448435412554285
357,3.943580168196169e-06,0.0003209823628848959,0.00032492594305309205
358,0.0003680396069126279,2.1046771652030744e-05,0.00038908637856465865
359,0.0005525120030716906,7.717653396433228e-05,0.0006296885370360228
360,0.0004069381019391355,6.642451617801218e-06,0.0004135805535569367
361,4.164887627004505e-06,0.00021114391077589265,0.00021530879840289715
362,3.6591437342141412e-06,1.0278725456566608e-06,4.687016279870802e-06
363,0.00038636247207084884,2.1300122262231026e-05,0.00040766259433307986
364,1.391484224487628e-05,1.2213235130897899e-06,1.5136165757966071e-05
365,0.00017552273897826883,8.16250722764415e-05,0.0002571478112547103
366,3.61946373622847e-07,6.1060454519461285e-06,6.467991825568976e-06
367,8.732977766637414e-06,4.037609701248456e-06,1.277058746788587e-05
368,7.194191595460126e-06,4.92334062791723e-06,1.2117532223377355e-05
369,6.384919617305584e-06,5.124496619291934e-05,5.762988581022492e-05
370,0.00047466792998419085,2.154996714268548e-06,0.0004768229266984594
371,3.498104667470706e-05,0.00019162475670575778,0.00022660580338046483
372,1.4263893590429542e-05,1.8105029096976942e-06,1.6074396500127235e-05
373,0.0007082977487229666,9.053084759617186e-06,0.0007173508334825838
374,0.0005389128512272062,5.1690021430346596e-06,0.0005440818533702409
375,0.00013928862826047468,0.00010511047222553326,0.00024439910048600793
