n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
43,215,Linear Regression,9078.9575,4604.5638,92.5802,22.536,48.4629,10.0137,-30.7789,15.5792
43,215,Random Forest,8.7638,3.2599,2.9117,0.5345,1.8069,0.1824,0.969,0.0132
43,215,MLP,4.0253,2.1344,1.9369,0.5233,1.3685,0.387,0.9863,0.0066
42,210,Linear Regression,5552.3314,2214.7625,72.8713,15.5596,42.4554,6.4658,-18.1399,8.9561
42,210,Random Forest,4.9806,1.7157,2.1983,0.3846,1.5247,0.2175,0.9831,0.0068
42,210,MLP,5.0774,1.7671,2.223,0.3683,1.6971,0.3246,0.9827,0.0072
41,205,Linear Regression,9925.0231,9800.0884,90.1453,42.4127,52.496,22.4515,-32.2423,33.9951
41,205,Random Forest,8.7287,6.2403,2.8054,0.9264,1.8177,0.4188,0.972,0.0186
41,205,MLP,11.685,9.7031,3.1735,1.2705,2.3483,0.9836,0.9622,0.0303
40,200,Linear Regression,2791.2738,2638.66,47.7151,22.6836,28.1507,8.3898,-8.7411,9.0629
40,200,Random Forest,7.1254,2.7901,2.6164,0.5288,1.7211,0.1926,0.9749,0.0107
40,200,MLP,7.1754,4.7766,2.5377,0.8577,2.0001,0.7113,0.9742,0.0198
39,195,Linear Regression,4997.9086,2339.2351,68.7174,16.608,38.9399,6.6705,-16.7772,9.2253
39,195,Random Forest,7.711,1.259,2.7677,0.2255,1.9048,0.1342,0.9732,0.0049
39,195,MLP,195.8349,187.9054,11.5724,7.8685,8.5335,5.8689,0.3488,0.6139
38,190,Linear Regression,4777.8519,2117.7309,67.4509,15.1073,42.1717,6.1324,-14.7415,8.3498
38,190,Random Forest,7.9929,4.2757,2.7396,0.6981,1.8358,0.4321,0.9754,0.0106
38,190,MLP,13.1866,9.0999,3.4097,1.2491,2.6511,1.0914,0.9552,0.0328
37,185,Linear Regression,6266.3728,2426.9224,77.6656,15.311,39.6756,11.481,-19.3026,7.6365
37,185,Random Forest,9.8229,4.8394,3.0461,0.7376,2.0006,0.3613,0.9675,0.0181
37,185,MLP,52.305,90.465,5.1511,5.0765,3.968,4.1951,0.8428,0.2672
36,180,Linear Regression,6877.4274,5706.0822,73.6671,38.0866,43.2435,19.7245,-21.6874,19.0245
36,180,Random Forest,5.5905,2.2704,2.313,0.4904,1.5946,0.2498,0.9824,0.0063
36,180,MLP,4.893,3.1535,2.108,0.6703,1.4972,0.4677,0.9845,0.0102
35,175,Linear Regression,3836.619,3488.0929,56.5618,25.2465,34.9712,9.9481,-11.6308,12.5175
