wavelength_nm,n,k
635,3.87,0.015938
636,3.8682000000000003,0.015836799999999998
637,3.8664,0.0157356
638,3.8646000000000003,0.0156344
639,3.8628,0.0155332
640,3.861,0.015432
641,3.8593,0.015331899999999999
642,3.8576,0.0152318
643,3.8559,0.0151317
644,3.8542,0.015031599999999999
645,3.8525,0.0149315
646,3.8508,0.0148314
647,3.8491,0.0147313
648,3.8474,0.014631199999999999
649,3.8457,0.0145311
650,3.844,0.014431
651,3.8424,0.0143377
652,3.8407999999999998,0.014244399999999999
653,3.8392,0.0141511
654,3.8375999999999997,0.014057799999999999
655,3.836,0.0139645
656,3.8344,0.0138712
657,3.8327999999999998,0.0137779
658,3.8312,0.0136846
659,3.8295999999999997,0.013591299999999999
660,3.828,0.013498
661,3.8265,0.0134225
662,3.8249999999999997,0.013347
663,3.8235,0.0132715
664,3.822,0.013196
665,3.8205,0.0131205
666,3.819,0.013045000000000001
667,3.8175,0.0129695
668,3.8160000000000003,0.012894000000000001
669,3.8145000000000002,0.0128185
670,3.813,0.012743
671,3.8115,0.0126592
672,3.81,0.0125754
673,3.8085,0.0124916
674,3.807,0.0124078
675,3.8055000000000003,0.012324000000000002
676,3.8040000000000003,0.012240200000000001
677,3.8025,0.012156400000000001
678,3.801,0.012072600000000001
679,3.7995,0.0119888
680,3.798,0.011905
681,3.7966,0.0118346
682,3.7952,0.0117642
683,3.7938,0.0116938
684,3.7923999999999998,0.0116234
685,3.791,0.011553
686,3.7896,0.011482599999999999
687,3.7882,0.011412199999999999
688,3.7868,0.011341799999999999
689,3.7853999999999997,0.011271399999999999
690,3.784,0.011201
691,3.7828,0.0111337
692,3.7815999999999996,0.011066399999999999
693,3.7803999999999998,0.0109991
694,3.7792,0.010931799999999998
695,3.7779999999999996,0.0108645
696,3.7767999999999997,0.0107972
697,3.7756,0.010729899999999999
698,3.7744,0.0106626
699,3.7731999999999997,0.010595299999999998
700,3.772,0.010528
701,3.7706999999999997,0.0104809
702,3.7693999999999996,0.0104338
703,3.7681,0.010386699999999999
704,3.7668,0.0103396
705,3.7655,0.0102925
706,3.7641999999999998,0.0102454
707,3.7628999999999997,0.0101983
708,3.7616,0.010151199999999999
709,3.7603,0.0101041
710,3.759,0.010057
711,3.7579,0.01001387
712,3.7568,0.00997074
713,3.7557,0.00992761
714,3.7546,0.00988448
715,3.7535,0.009841349999999999
716,3.7524,0.00979822
717,3.7513,0.00975509
718,3.7502,0.009711959999999999
719,3.7491000000000003,0.00966883
720,3.748,0.0096257
721,3.7469,0.009557739999999999
722,3.7458,0.00948978
723,3.7447000000000004,0.00942182
724,3.7436000000000003,0.00935386
725,3.7425,0.0092859
726,3.7414,0.009217939999999999
